PerDayWord,IntensityWord,Word
10,4,fuck
10,3,fuck
5,3,fuck
19,3,fuck
7,4,fuck
1,1,fuck
6,1,fuck
21,3,fuck
24,3,fuck
16,2,fuck
3,3,fuck
22,2,fuck
15,3,fuck
0,1,fuck
19,1,fuck
0,4,fuck
1,2,fuck
3,3,fuck
8,3,fuck
13,3,fuck
0,4,fuck
1,3,fuck
7,0,fuck
0,3,fuck
6,3,fuck
5,3,fuck
2,2,fuck
21,1,fuck
8,1,fuck
6,2,fuck
9,0,fuck
7,2,fuck
2,1,fuck
10,4,fuck
20,3,fuck
24,3,fuck
0,1,fuck
7,1,fuck
17,4,fuck
1,1,fuck
13,3,fuck
20,1,fuck
25,0,fuck
5,3,fuck
8,0,fuck
20,4,fuck
23,4,fuck
0,0,fuck
21,4,fuck
4,4,fuck
12,0,fuck
9,2,fuck
3,3,fuck
3,1,fuck
16,1,fuck
4,4,fuck
18,2,fuck
1,4,fuck
15,3,fuck
23,1,fuck
11,2,shit
1,1,shit
4,2,shit
14,2,shit
11,0,shit
1,1,shit
1,1,shit
7,1,shit
4,1,shit
1,0,shit
4,2,shit
15,1,shit
2,1,shit
0,1,shit
15,1,shit
0,3,shit
6,2,shit
2,2,shit
8,2,shit
5,2,shit
0,3,shit
4,3,shit
2,0,shit
9,2,shit
18,1,shit
14,2,shit
5,0,shit
8,1,shit
4,0,shit
6,1,shit
5,1,shit
19,0,shit
2,1,shit
5,2,shit
3,1,shit
24,1,shit
0,0,shit
14,0,shit
16,2,shit
0,1,shit
14,2,shit
25,2,shit
6,3,shit
9,2,shit
2,1,shit
23,3,shit
25,3,shit
0,0,shit
17,2,shit
4,3,shit
12,0,shit
3,1,shit
2,2,shit
9,2,shit
12,1,shit
1,2,shit
17,3,shit
2,3,shit
19,3,shit
1,2,shit
6,1,damn
2,0,damn
10,1,damn
9,0,damn
3,0,damn
5,0,damn
5,0,damn
19,1,damn
2,0,damn
4,0,damn
0,2,damn
9,0,damn
17,0,damn
4,0,damn
14,0,damn
0,0,damn
3,0,damn
7,0,damn
4,1,damn
15,0,damn
0,0,damn
0,0,damn
3,0,damn
17,1,damn
7,0,damn
6,1,damn
3,0,damn
1,0,damn
2,0,damn
6,0,damn
0,4,damn
15,0,damn
2,0,damn
5,1,damn
12,0,damn
3,0,damn
0,0,damn
2,0,damn
5,0,damn
10,0,damn
8,0,damn
19,2,damn
15,2,damn
5,1,damn
5,0,damn
24,1,damn
24,0,damn
7,1,damn
2,1,damn
16,0,damn
18,0,damn
1,1,damn
5,3,damn
13,0,damn
7,1,damn
6,0,damn
3,1,damn
10,0,damn
23,0,damn
3,3,bitch
0,2,bitch
1,4,bitch
11,2,bitch
7,2,bitch
2,1,bitch
0,3,bitch
4,3,bitch
9,1,bitch
1,1,bitch
0,2,bitch
9,3,bitch
3,2,bitch
0,3,bitch
0,3,bitch
0,2,bitch
3,4,bitch
7,3,bitch
1,1,bitch
4,3,bitch
0,2,bitch
2,1,bitch
4,3,bitch
4,3,bitch
1,2,bitch
0,3,bitch
1,1,bitch
22,1,bitch
10,1,bitch
6,1,bitch
5,3,bitch
6,1,bitch
0,3,bitch
1,3,bitch
0,4,bitch
5,2,bitch
0,3,bitch
0,4,bitch
3,3,bitch
4,1,bitch
2,3,bitch
23,2,bitch
0,4,bitch
0,1,bitch
3,2,bitch
24,2,bitch
22,3,bitch
18,3,bitch
0,1,bitch
19,0,bitch
0,3,bitch
1,3,bitch
4,3,bitch
4,2,bitch
2,3,bitch
15,4,bitch
1,2,bitch
2,2,bitch
2,3,bitch
6,0,ass
4,0,ass
2,1,ass
9,2,ass
10,2,ass
1,0,ass
1,1,ass
1,0,ass
5,0,ass
3,0,ass
4,1,ass
10,2,ass
8,0,ass
0,0,ass
5,1,ass
0,1,ass
3,3,ass
3,1,ass
1,0,ass
9,2,ass
0,1,ass
0,2,ass
2,0,ass
3,2,ass
4,1,ass
4,1,ass
1,0,ass
6,1,ass
1,0,ass
5,0,ass
7,2,ass
2,0,ass
4,0,ass
7,1,ass
0,0,ass
17,0,ass
0,0,ass
0,2,ass
2,1,ass
0,1,ass
2,0,ass
1,1,ass
5,0,ass
0,0,ass
3,0,ass
1,0,ass
8,3,ass
4,0,ass
3,0,ass
18,0,ass
0,0,ass
4,2,ass
3,1,ass
13,0,ass
1,0,ass
3,1,ass
0,0,ass
10,1,ass
5,0,ass
